timestamp,status,head_status,attention_percentage
2026-05-23 21:50:24.033722,Attentive,Looking Left,0
2026-05-23 21:50:24.067424,Attentive,Looking Left,0
2026-05-23 21:50:24.106908,Attentive,Looking Left,0
2026-05-23 21:50:24.138121,Attentive,Looking Left,0
2026-05-23 21:50:24.167855,Attentive,Looking Left,0
2026-05-23 21:50:24.198176,Attentive,Looking Left,0
2026-05-23 21:50:24.361936,Attentive,Looking Left,0
2026-05-23 21:50:24.394001,Attentive,Looking Left,0
2026-05-23 21:50:24.417002,Attentive,Looking Left,0
2026-05-23 21:50:24.520183,Attentive,Looking Left,0
2026-05-23 21:50:24.541528,Attentive,Looking Left,0
2026-05-23 21:50:24.582623,Attentive,Looking Left,0
2026-05-23 21:50:24.627798,Attentive,Looking Left,0
2026-05-23 21:50:24.660246,Attentive,Looking Left,0
2026-05-23 21:50:24.692090,Attentive,Looking Left,0
2026-05-23 21:50:24.729427,Attentive,Looking Left,0
2026-05-23 21:50:24.761360,Attentive,Looking Left,0
2026-05-23 21:50:24.793583,Attentive,Looking Left,0
2026-05-23 21:50:24.816906,Attentive,Looking Left,0
2026-05-23 21:50:24.854013,Attentive,Looking Left,0
2026-05-23 21:50:24.885397,Attentive,Looking Left,0
2026-05-23 21:50:24.913182,Attentive,Looking Left,0
2026-05-23 21:50:24.953610,Attentive,Looking Left,0
2026-05-23 21:50:24.985420,Attentive,Looking Left,0
2026-05-23 21:50:25.025595,Attentive,Looking Left,0
2026-05-23 21:50:25.062250,Attentive,Looking Left,0
2026-05-23 21:50:25.095709,Attentive,Looking Left,0
2026-05-23 21:50:25.127065,Attentive,Looking Left,0
2026-05-23 21:50:25.160426,Attentive,Looking Left,0
2026-05-23 21:50:25.193653,Attentive,Looking Left,0
2026-05-23 21:50:25.224736,Attentive,Looking Left,0
2026-05-23 21:50:25.256248,Attentive,Looking Left,0
2026-05-23 21:50:25.290607,Attentive,Looking Left,0
2026-05-23 21:50:25.313085,Attentive,Looking Left,0
2026-05-23 21:50:25.353996,Attentive,Looking Left,0
2026-05-23 21:50:25.381625,Attentive,Looking Left,0
2026-05-23 21:50:25.432530,Attentive,Focused,2
2026-05-23 21:50:25.461433,Attentive,Focused,5
2026-05-23 21:50:25.491110,Attentive,Focused,7
2026-05-23 21:50:25.527361,Attentive,Focused,10
2026-05-23 21:50:25.557957,Attentive,Focused,12
2026-05-23 21:50:25.585347,Attentive,Focused,14
2026-05-23 21:50:25.625841,Attentive,Focused,16
2026-05-23 21:50:25.659067,Attentive,Focused,18
2026-05-23 21:50:25.685618,Attentive,Focused,20
2026-05-23 21:50:25.724028,Attentive,Focused,21
2026-05-23 21:50:25.923158,Attentive,Focused,23
2026-05-23 21:50:25.950026,Attentive,Focused,25
2026-05-23 21:50:26.023503,Attentive,Focused,26
2026-05-23 21:50:26.053005,Attentive,Focused,28
2026-05-23 21:50:26.075924,Attentive,Focused,29
2026-05-23 21:50:26.110175,Attentive,Focused,30
2026-05-23 21:50:26.147334,Attentive,Focused,32
2026-05-23 21:50:26.174707,Attentive,Focused,33
2026-05-23 21:50:26.235361,Attentive,Focused,34
2026-05-23 21:50:26.261990,Attentive,Focused,35
2026-05-23 21:50:26.299737,Attentive,Focused,36
2026-05-23 21:50:26.329983,Attentive,Focused,37
2026-05-23 21:50:26.353758,Attentive,Focused,38
2026-05-23 21:50:26.394637,Attentive,Focused,40
2026-05-23 21:50:26.429694,Attentive,Focused,40
2026-05-23 21:50:26.452583,Attentive,Focused,41
2026-05-23 21:50:26.491836,Attentive,Focused,42
2026-05-23 21:50:26.522219,Attentive,Focused,43
2026-05-23 21:50:26.554069,Attentive,Focused,44
2026-05-23 21:50:26.584790,Attentive,Focused,45
2026-05-23 21:50:26.623950,Attentive,Focused,46
2026-05-23 21:50:26.663685,Attentive,Focused,47
2026-05-23 21:50:26.694956,Attentive,Focused,47
2026-05-23 21:50:26.728136,Attentive,Focused,48
2026-05-23 21:50:26.759813,Attentive,Focused,49
2026-05-23 21:50:26.791272,Attentive,Focused,50
2026-05-23 21:50:26.823826,Attentive,Focused,50
2026-05-23 21:50:26.847066,Attentive,Focused,51
2026-05-23 21:50:26.894338,Attentive,Focused,52
2026-05-23 21:50:26.924690,Attentive,Focused,52
2026-05-23 21:50:26.956137,Attentive,Focused,53
2026-05-23 21:50:26.987742,Attentive,Focused,53
2026-05-23 21:50:27.035441,Attentive,Focused,54
2026-05-23 21:50:27.064912,Attentive,Focused,55
2026-05-23 21:50:27.096245,Attentive,Focused,55
2026-05-23 21:50:27.128969,Attentive,Focused,56
2026-05-23 21:50:27.160270,Attentive,Focused,56
2026-05-23 21:50:27.195983,Attentive,Focused,57
2026-05-23 21:50:27.230398,Attentive,Focused,57
2026-05-23 21:50:27.439505,Attentive,Focused,58
2026-05-23 21:50:27.471803,Attentive,Focused,58
2026-05-23 21:50:27.522695,Attentive,Focused,59
2026-05-23 21:50:27.559985,Attentive,Focused,59
2026-05-23 21:50:27.594584,Attentive,Focused,60
2026-05-23 21:50:27.625132,Attentive,Focused,60
2026-05-23 21:50:27.657633,Attentive,Focused,60
2026-05-23 21:50:27.697489,Attentive,Focused,61
2026-05-23 21:50:27.729883,Attentive,Focused,61
2026-05-23 21:50:27.758787,Attentive,Focused,62
2026-05-23 21:50:27.789370,Attentive,Focused,62
2026-05-23 21:50:27.830172,Attentive,Focused,62
2026-05-23 21:50:27.866823,Attentive,Focused,63
2026-05-23 21:50:27.900943,Attentive,Focused,63
2026-05-23 21:50:27.930072,Attentive,Focused,64
2026-05-23 21:50:27.965395,Attentive,Focused,64
2026-05-23 21:50:27.996901,Attentive,Focused,64
2026-05-23 21:50:28.038248,Attentive,Focused,65
2026-05-23 21:50:28.075409,Attentive,Focused,65
2026-05-23 21:50:28.107555,Attentive,Focused,65
2026-05-23 21:50:28.142675,Attentive,Focused,66
2026-05-23 21:50:28.173705,Attentive,Focused,66
2026-05-23 21:50:28.205612,Attentive,Focused,66
2026-05-23 21:50:28.233792,Attentive,Focused,66
2026-05-23 21:50:28.271797,Attentive,Focused,67
2026-05-23 21:50:28.303461,Attentive,Focused,67
2026-05-23 21:50:28.329635,Attentive,Focused,67
2026-05-23 21:50:28.363610,Attentive,Focused,68
2026-05-23 21:50:28.394024,Attentive,Focused,68
2026-05-23 21:50:28.428057,Attentive,Focused,68
2026-05-23 21:50:28.456924,Attentive,Focused,68
2026-05-23 21:50:28.488251,Attentive,Focused,69
2026-05-23 21:50:28.521913,Attentive,Focused,69
2026-05-23 21:50:28.552159,Attentive,Focused,69
2026-05-23 21:50:28.574639,Attentive,Focused,70
2026-05-23 21:50:28.629461,Attentive,Focused,70
2026-05-23 21:50:28.658732,Attentive,Focused,70
2026-05-23 21:50:28.691268,Attentive,Focused,70
2026-05-23 21:50:28.718891,Attentive,Focused,70
2026-05-23 21:50:28.754728,Attentive,Focused,71
2026-05-23 21:50:28.939529,Attentive,Focused,71
2026-05-23 21:50:28.969335,Attentive,Focused,71
2026-05-23 21:50:28.998769,Attentive,Focused,71
2026-05-23 21:50:29.028756,Attentive,Focused,72
2026-05-23 21:50:29.058713,Attentive,Focused,72
2026-05-23 21:50:29.086845,Attentive,Focused,72
2026-05-23 21:50:29.118005,Attentive,Focused,72
2026-05-23 21:50:29.148905,Attentive,Focused,72
2026-05-23 21:50:29.175598,Attentive,Focused,73
2026-05-23 21:50:29.202305,Attentive,Focused,73
2026-05-23 21:50:29.230789,Attentive,Focused,73
2026-05-23 21:50:29.260269,Attentive,Focused,73
2026-05-23 21:50:29.290910,Attentive,Focused,73
2026-05-23 21:50:29.321001,Attentive,Focused,74
2026-05-23 21:50:29.353910,Attentive,Focused,74
2026-05-23 21:50:29.382135,Attentive,Focused,74
2026-05-23 21:50:29.427925,Attentive,Focused,74
2026-05-23 21:50:29.457664,Attentive,Focused,74
2026-05-23 21:50:29.484325,Attentive,Focused,75
2026-05-23 21:50:29.528123,Attentive,Focused,75
2026-05-23 21:50:29.556252,Attentive,Focused,75
2026-05-23 21:50:29.578613,Attentive,Focused,75
2026-05-23 21:50:29.620608,Attentive,Focused,75
2026-05-23 21:50:29.657174,Attentive,Focused,75
2026-05-23 21:50:29.686392,Attentive,Focused,76
2026-05-23 21:50:29.720382,Attentive,Focused,76
2026-05-23 21:50:29.752553,Attentive,Focused,76
2026-05-23 21:50:29.777165,Attentive,Focused,76
2026-05-23 21:50:29.823952,Attentive,Focused,76
2026-05-23 21:50:29.853777,Attentive,Focused,76
2026-05-23 21:50:29.880673,Attentive,Focused,76
2026-05-23 21:50:29.921096,Attentive,Focused,77
2026-05-23 21:50:29.953372,Attentive,Focused,77
2026-05-23 21:50:29.977144,Attentive,Focused,77
2026-05-23 21:50:30.025161,Attentive,Focused,77
2026-05-23 21:50:30.055653,Attentive,Focused,77
2026-05-23 21:50:30.085381,Attentive,Focused,77
2026-05-23 21:50:30.119620,Attentive,Focused,77
2026-05-23 21:50:30.147026,Attentive,Focused,78
2026-05-23 21:50:30.319303,Attentive,Focused,78
2026-05-23 21:50:30.354439,Attentive,Focused,78
2026-05-23 21:50:30.392448,Attentive,Focused,78
2026-05-23 21:50:30.438087,Attentive,Focused,78
2026-05-23 21:50:30.533295,Attentive,Focused,78
2026-05-23 21:50:30.580055,Attentive,Focused,78
2026-05-23 21:50:30.617348,Attentive,Focused,78
